"de","en"
"Online-Einkäufe__Waren/Dienstleistungen","Online shopping__Goods/services"
"Online-Einkäufe__Preis","Online shopping__Price"
"Online-Einkäufe__Rabattbetrag","Online shopping__Discount amount"
"Online-Einkäufe__Ort des Vorgangs","Online shopping__Place of operation"
"Online-Einkäufe__Zeitpunkt des Vorgangs","Online shopping__Date of operation"
"Lieferung und Abholung__Rechnungsadresse","Delivery and collection__Invoicing address"
"Lieferung und Abholung__Lieferadresse","Delivery and collection__Delivery address"
"Lieferung und Abholung__Telefonnummer","Delivery and collection__Number"
"Lieferung und Abholung__bevorzugte Abholzeiten oder Lieferzeiten","Delivery and collection__preferred pick-up times or delivery times"
"Lieferung und Abholung__Zustellungsnachweis","Delivery and collection__Certificate of delivery"
"Zahlungsabwicklung__Kreditkartendaten","Payment processing__Credit card details"
"Zahlungsabwicklung__Kontodaten","Payment processing__Account data"
"Zahlungsabwicklung__PayPal-Daten","Payment processing__PayPal data"
"Versandeinstellungen__Lieferflat","Shipping costs__Delivery flat"
"Altersüberprüfung__Geburtsdatum","Old age examination__Date"
"Bonität__Bonität","Credit__Credit"
"Auslieferung__Parkplatzsituation","Delivery__Parking space"
"Daten von Postdienstleistern__Verifizierung der Lieferadresse","Data from postal service providers__Verification of the delivery address"
"Abo von Push-Benachrichtigungen__Installations-ID","Abo of Push notifications__Installation ID"
"Abo von Push-Benachrichtigungen__Advertisting-ID","Abo of Push notifications__Advertisting ID"
"Abo von Push-Benachrichtigungen__API Level des SDK (Android)","Abo of Push notifications__API Level of SDK (Android)"
"Abo von Push-Benachrichtigungen__IP-Adresse","Abo of Push notifications__IP address"
"Abo von Push-Benachrichtigungen__Bundel ID OS-Version","Abo of Push notifications__Bundel ID OS version"
"Abo von Push-Benachrichtigungen__App Version","Abo of Push notifications__App Version"
"Abo von Push-Benachrichtigungen__Batch SDK Version","Abo of Push notifications__Batch SDK Version"
"Abo von Push-Benachrichtigungen__Push Token","Abo of Push notifications__Push tokens"
"Abo von Push-Benachrichtigungen__Push Notification Opt-In Status MLVL (Mobile Landing Version)","Abo of Push notifications__Push Notification Opt-In Status MLVL (Mobile Landing Version)"
"Abo von Push-Benachrichtigungen__Gerätemarke","Abo of Push notifications__Label"
"Abo von Push-Benachrichtigungen__Gerätemodell","Abo of Push notifications__Device model"
"Abo von Push-Benachrichtigungen__Mobilfunkanbieter","Abo of Push notifications__Mobile devices"
"Abo von Push-Benachrichtigungen__Sprache","Abo of Push notifications__Languages"
"Abo von Push-Benachrichtigungen__Land","Abo of Push notifications__Country"
"Abo von Push-Benachrichtigungen__Region","Abo of Push notifications__Region"
"Abo von Push-Benachrichtigungen__Zeitzone des Geräts","Abo of Push notifications__Time zone of the device"
